episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,decision,x,y,target_x,target_y,observation,next_observation,next_x,next_y,selected_action,state_ms,policy_ms,action_ms,total_ms,cumulative_inference_ms,state_vfe,target_belief_entropy,selected_policy,selected_policy_posterior,selected_policy_efe,false_find,collision,success
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,14,5,15,16,1,"[5, 15, 0, 0, 0]","[5, 14, 0, 0, 0]",5,14,DOWN,1.6051,0.8282,0.0399,2.4732,38.022600000000004,0.06060812259003715,0.6930881063326615,2,0.24999961598731818,-15.684741274716053,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,15,5,14,16,1,"[5, 14, 0, 0, 0]","[5, 13, 0, 0, 0]",5,13,DOWN,1.9185,0.8123,0.0431,2.7739000000000003,40.7965,0.06060812198674997,0.6930881057149079,2,0.24999961598734172,-15.684741274803757,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,16,5,13,16,1,"[5, 13, 0, 0, 0]","[5, 12, 0, 0, 0]",5,12,DOWN,1.6498,0.878,0.0513,2.5791,43.3756,0.06060812195473998,0.6930881056760219,2,0.24999961598732312,-15.684741274808756,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,17,5,12,16,1,"[5, 12, 0, 0, 0]","[5, 11, 0, 0, 0]",5,11,DOWN,1.6825,0.7957,0.0417,2.5199000000000003,45.8955,0.060608121952877764,0.6930881056730949,2,0.24999961598732046,-15.684741274809099,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,18,5,11,16,1,"[5, 11, 0, 0, 0]","[5, 10, 0, 0, 0]",5,10,DOWN,1.6179,0.7961,0.0412,2.4551999999999996,48.350699999999996,0.06060812195274131,0.6930881056727727,2,0.24999961598731868,-15.684741274809136,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,19,5,10,16,1,"[5, 10, 0, 0, 0]","[5, 9, 0, 0, 0]",5,9,DOWN,1.6339,0.8217,0.0413,2.4969,50.8476,0.06060812195273323,0.6930881056727165,2,0.24999961598731824,-15.684741274809143,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,20,5,9,16,1,"[5, 9, 0, 0, 0]","[5, 8, 0, 0, 0]",5,8,DOWN,1.6221,0.7832,0.0394,2.4447,53.2923,0.06060812195272306,0.693088105672703,2,0.24999961598731868,-15.684741274809143,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,21,5,8,16,1,"[5, 8, 0, 0, 0]","[5, 7, 0, 0, 0]",5,7,DOWN,1.6019,0.7905,0.0399,2.4323,55.724599999999995,0.06060812195272275,0.6930881056726994,1,0.24999961598731868,-15.684741274809145,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,22,5,7,16,1,"[5, 7, 0, 0, 0]","[5, 6, 0, 0, 0]",5,6,DOWN,1.5996,0.8617,0.0402,2.5015,58.226099999999995,0.06060812195273053,0.6930881056726985,1,0.24999961598731824,-15.684741274809145,False,False,False
map1826701614-target1097657231-obs579362555-g2-T1,0,1826701614,1097657231,579362555,1367864806,4,11,5.0,2,1,23,5,6,16,1,"[5, 6, 0, 0, 0]","[5, 5, 0, 0, 0]",5,5,DOWN,1.6019,0.784,0.0388,2.4247000000000005,60.6508,0.0606081219527312,0.6930881056726984,1,0.249999615987318,-15.684741274809147,False,False,False
